thôn nà sliến|thon na slien
thôn pá lào|thon pa lao
thôn tọt còn|thon tot con
thôn bản ngù|thon ban ngu
thôn bản phiềng|thon ban phieng
thôn dài khao|thon dai khao
thôn nà món|thon na mon
thôn nà phải|thon na phai
thôn nà búng|thon na bung
thôn thái bình|thon thai binh
thôn thái bình trường|thon thai binh truong
thôn thôm mỏ|thon thom mo
thôn nà hin|thon na hin
thôn nà kha|thon na kha
thôn nà lẹng|thon na leng
thôn nà lìu|thon na liu
thôn nà thoi|thon na thoi
thôn nà vài|thon na vai
thôn phiêng an 1|phjêng an 1|thon phieng an 1|phjeng an 1
thôn phiêng an 2|phjêng an 2|thon phieng an 2|phjeng an 2
thôn phiêng bủng|phjêng bủng|thon phieng bung|phjeng bung
thôn pù cà|thon pu ca
thôn 2|thon 2
thôn nà kệt|thon na ket
thôn nà lào|thon na lao
thôn nà mèo|thon na meo
thôn nà pẻng|thon na peng
thôn nà vằn|thon na van
thôn bản diếu|thon ban dieu
thôn bản đố|thon ban do
thôn bản mòn|thon ban mon
thôn bản quăng|thon ban quang
thôn bản mới|thon ban moi
thôn khuổi pẩu|khuổi pjẩu|thon khuoi pau|khuoi pjau
thôn nà chạp|thon na chap
thôn nà đinh|thon na dinh
thôn bản hậu|thon ban hau
thôn bi oóc ve|bjoóc ve|thon bi ooc ve|bjooc ve
thôn cốc sâu|thon coc sau
thôn khuổi sliến|thon khuoi slien
thôn nà bưa|thon na bua
thôn nà ca|thon na ca
thôn nà cạm|thon na cam
thôn nà chằm|thon na cham
thôn nà ít|thon na it
thôn vằng kheo|thon vang kheo
thôn lủng cam|thon lung cam
thôn lủng tráng|thon lung trang
thôn chợ giải|thon cho giai
thôn nà dài|thon na dai
thôn nà ma|thon na ma
thôn thẳm san|thon tham san
thôn thôm lẹng|thon thom leng
thôn vằng kè|thon vang ke
thôn pác ngòi|thon pac ngoi
thôn bản luộc|thon ban luoc
thôn cốc bó|thon coc bo
thôn cốc diễn|thon coc dien
thôn cốc muồi|thon coc muoi
thôn kéo tẻn|thon keo ten
thôn khuổi luội|thon khuoi luoi
thôn khuổi pia|khuổi pià|thon khuoi pia|khuoi pia
thôn khuổi tẩu|thon khuoi tau
thôn lủng pầu|lủng pjầu|thon lung pau|lung pjau
thôn nà đổng|thon na dong
thôn nà đuổn|thon na duon
thôn nà hỏi|thon na hoi
thôn nà khao|thon na khao
thôn nặm hùa|thon nam hua
thôn nặm pẻn|thon nam pen
thôn phiêng giản|phjêng giản|thon phieng gian|phjeng gian
thôn thiêng điểm|thon thieng diem
thôn vằng quan|thon vang quan
thôn bản pạc|bản pjạc|thon ban pac|ban pjac
thôn bản pàn|bản piàn|thon ban pan|ban pian
thôn chợ lèng|thon cho leng
thôn lẻo keo|thon leo keo
thôn lủng quang|thon lung quang
thôn nà chom|thon na chom
thôn nà đon|thon na don
thôn nà hai|thon na hai
thôn nà lẻ|thon na le
thôn pù lùng|thon pu lung
thôn tổng chảo|thon tong chao
thôn cốc p|thon coc p
thôn khuổi bốc|thon khuoi boc
thôn lủng mầu|lủng mjầu|thon lung mau|lung mjau
thôn mạ khao|thon ma khao
thôn nà ché|thon na che
thôn nà khuổi|thon na khuoi
thôn nà lìn|thon na lin
thôn nà lùng|thon na lung
thôn nà tạ|thon na ta
thôn pác phai|thon pac phai
thôn pác vạt|thon pac vat
thôn phe khao|thon phe khao
thôn phia khao|phja khao|thon phia khao|phja khao
thôn phia mèo|phja mèo|thon phia meo|phja meo
thôn phiêng chì|phjêng chì|thon phieng chi|phjeng chi
thôn tin đồn|thon tin don
thôn bản lạ|thon ban la
thôn khuổi luổm|thon khuoi luom
thôn khuổi nhù|thon khuoi nhu
thôn loỏng lứng|thon loong lung
thôn nà chúa|thon na chua
thôn nà giảo|thon na giao
thôn nà lầy|thon na lay
thôn nà phai|thon na phai
thôn nà viến|thon na vien
thôn nặm lìn|thon nam lin
thôn nặm tốc|thon nam toc
thôn phiêng khăm|phjêng khăm|thon phieng kham|phjeng kham
thôn phiêng muồng|phjêng muồng|thon phieng muong|phjeng muong
phố nà hái|pho na hai
phố ngã ba|pho nga ba
thôn ba phương|thon ba phuong
thôn bó bả|thon bo ba
thôn khuổi chanh|thon khuoi chanh
thôn khuổi dấm|thon khuoi dam
thôn nà ngăm|thon na ngam
thôn nà tu|thon na tu
thôn nà xỏm|thon na xom
thôn lủng chuông|thon lung chuong
thôn lủng lỳ|thon lung ly
thôn nà cáy|thon na cay
thôn thôm khoan|thon thom khoan
thôn thôm phụ|thon thom phu
thôn bản chiêng|thon ban chieng
thôn bản chịt|thon ban chit
thôn bản đán|thon ban dan
thôn bản vén|thon ban ven
thôn khuổi ruồi|thon khuoi ruoi
thôn lủng lầu|thon lung lau
thôn nà đán|thon na dan
thôn nà lồm|thon na lom
thôn nà pán|thon na pan
thôn nà váng|thon na vang
thôn vằng bó|thon vang bo
thôn bản chàn|thon ban chan
thôn bản mún|thon ban mun
thôn bản pè|thon ban pe
thôn khuổi cò|thon khuoi co
thôn nà chèn|thon na chen
thôn nà coọng|thon na coong
thôn tống mú|thon tong mu
thôn tổng ngay|thon tong ngay
thôn vằng ngòa|thon vang ngoa
thôn cốc xả|thon coc xa
thôn đon mỏ|thon don mo
thôn khuổi thiêu|thon khuoi thieu
thôn lủng kén|thon lung ken
thôn bản piềng|thon ban pieng
thôn cao lộc|thon cao loc
thôn lủng chang|thon lung chang
thôn nà nghịu|thon na nghiu
thôn thôm pá|thon thom pa
thôn bản châng|thon ban chang
thôn bản luông|thon ban luong
thôn gốc thị|thon goc thi
thôn khau ca|thon khau ca
thôn khuổi ái|thon khuoi ai
thôn nà mèng|thon na meng
thôn phiêng kham|phjêng kham|thon phieng kham|phjeng kham
thôn bản quăn|thon ban quan
thôn cáng lò|thon cang lo
thôn khuổi ô|thon khuoi o
thôn nà lốc|thon na loc
thôn nà muồng|thon na muong
thôn nà ngòan|thon na ngoan
thôn nà rảo|thon na rao
thôn nam yên|thon nam yen
thôn pác thiên|thon pac thien
thôn chi quảng a|thon chi quang a
thôn chi quảng b|thon chi quang b
thôn đèo giàng|thon deo giang
thôn khuổi chả|thon khuoi cha
thôn khuổi chàm|thon khuoi cham
thôn khuổi cụ|thon khuoi cu
thôn khuổi lừa|thon khuoi lua
thôn bản eng|thon ban eng
thôn bản he|thon ban he
thôn bản hỏ|thon ban ho
